"","G35441","G36194","G36491","G36811","G35531","G36771","G35878","G36505","G36449","G37005","G35874","G35403","G36434","G36204","G36530","G36279","G36473","G35892","G36287","G36463","G36760","G35350","G36452","G36910","G35512","G36233","G37030","G36193","G36468","G36202","G36288","G36460","G36186","G35470","G36492","G36495","G36518","G37024","G36516","G36200","G36457","G36528","G35876","G36198","G36242","G36450","G36944","G36203","G36511","G36408","G36138","G36508","G36037","G35523","G35997","G36987","G35513","G36286","G36456","G36213","G36466","G35453","G35923","G35414","G36432","G36769","G36317","G36420","G37047","G36438","G36834","G36476","G35533","G35469","G36764","G36459","G35924","G36219","G36523","G36490","G36205","G36485","G36455","G35352","G36540","G35409","G36824","G37040","G35442","G37026","G35424","G37039","G36139","G36527","G36521","G36433","G36215","G36173","G36761","G36235","G36144","G36816","G35351","G36773","G36141","G35395","G37042","G36514","G36536","G36192","G36028","G36189","G35397","G35404","G36035","G36982","G36538","G36489","G35445","G36763","G36498","G36272","G36201","G37050","G36280","G35522","G36453","G37022","G35477","G35902","G36210","G37045","G36854","G36029","G36435","G36034","G36454","G36753","G35938","G36145","G36257","G36161","G35416","G36439","G36534","G35455","G36464","G36290","G37037","G36431"
"4333897",9,1,6,15,2,5,6,0,33,4,1,9,8,0,3,0,2,2,0,0,3,38,19,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,2,12,79,0,10,1,5,10,29,2,7,162,26,1,11,0,0,0,17,1,1,10,27,10,2,12,28,0,0,90,2,14,0,4,0,8,80,0,6,1,0,2,9,0,0,8,0,4,5,21,0,0,0,0,9,62,0,26,0,4,1,2,2,2,3,17,11,1,5,54,22,0,1,0,0,0,0,7,1,0,0,0,17,0,6,12,8,1,0,6,5,0,203,9,213,0,23,58,3,1,2,13,15,0,0,0,0,7,46
"190162",4,5,0,19,1,54,0,8,0,0,0,15,0,1,6,7,11,2,1,5,1,0,1,1,23,13,3,5,5,0,20,12,0,12,2,0,53,1,6,13,18,22,24,1,14,0,1,20,1,0,13,0,10,0,6,0,2,6,12,0,15,18,18,0,0,130,3,0,2,13,59,3,3,45,96,0,0,0,0,0,23,0,8,6,0,100,0,6,1,0,0,1,1,7,10,0,1,0,0,11,0,55,66,39,4,35,0,0,52,2,0,0,3,0,0,15,0,7,0,34,38,5,1,0,36,0,2,1,51,0,0,3,4,3,0,0,0,0,5,1,3,0,0,0,15,26,3,0,3,0
"134726",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,1,0,2,150,0,1,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,282,0,0,0,15,3,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,62,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,16,3,0,16,0,0,0,0,347,0,15,0,0
"679245",0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,128,1,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,7,0,0,0,0,108,0,0,7,0,0,0,0,0,0,0,0,141,0,13,15,3,0,0,0,0,0,0,0,0,0,148,0,24,368,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,25,0,0,1,10,0,8,0,0,12,0,0,0,26,0,0,0,0,0,0
"289734",1050,477,1,1875,335,2789,2,1939,0,0,50,2430,0,129,1214,240,4322,273,133,2400,10,8,1,271,2073,1448,440,1977,1381,246,2368,3695,0,1398,465,4,20371,389,3126,759,3587,9558,4538,495,2497,1,1666,770,1,506,4998,1,2771,0,789,0,472,1363,1133,0,3861,2416,797,2,1,2619,791,1,1262,2151,8458,713,436,1856,8352,52,898,14,3,2,803,3,4478,2240,7,11722,2,465,16,19,1,41,199,939,4376,1,2,4,9,1315,327,5143,7865,2598,1165,4179,0,0,14864,745,1,1,645,1,5,2786,55,1246,1,3522,4088,310,144,1,1348,1,1401,981,5387,15,0,1829,435,12,0,0,57,21,2902,516,1272,0,3,2,6845,2394,1355,1207,1135,1
"302049",78,34,0,132,12,178,2,82,0,0,12,156,0,7,64,18,153,30,7,100,1,1,0,8,153,85,25,103,67,13,143,148,0,103,17,2,920,21,126,52,133,434,474,25,205,0,62,34,0,24,270,1,255,0,82,0,30,71,78,0,157,174,41,0,1,184,52,0,67,101,632,32,23,126,568,1,76,0,0,0,39,0,185,131,0,721,0,17,5,2,0,7,15,42,197,0,0,0,3,62,17,425,591,207,81,330,0,0,699,43,0,0,36,0,1,101,2,88,0,249,185,23,9,0,114,0,62,46,372,2,0,96,39,8,0,0,0,0,203,24,81,0,0,1,293,173,54,67,50,0
"3903651",1,5,524,1273,46,40,180,115,1,0,0,10,0,547,574,20,367,68,124,324,884,976,912,0,200,58,207,760,126,159,114,381,0,443,257,703,11268,208,1036,1308,147,2828,380,0,77,0,12,604,0,2,75,152,1477,0,23,0,76,114,119,0,58,1588,1272,2,0,226,37,0,746,54,1754,559,66,530,366,0,59,2,1,340,22,30,95,802,84,499,12,314,1946,12,658,77,16,407,129,0,1,0,1790,357,332,226,1434,124,320,258,0,1,2482,25,1,1,88,0,3,1086,217,544,1,63,195,667,117,1,382,121,79,0,3453,0,192,124,244,6,0,2523,176,1932,64,518,204,1,2,0,418,190,377,492,1031,47
"184922",0,0,0,0,0,90,0,29,0,0,0,0,0,4,0,100,0,0,0,1,0,0,0,0,24,0,0,0,0,10,0,0,0,0,0,0,13,0,0,62,0,0,0,0,0,0,0,118,0,0,56,0,0,0,0,0,15,0,0,0,18,0,0,0,0,0,0,0,73,30,0,0,0,1,0,0,0,0,0,0,3,0,114,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,165,20,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,66,0,0,0,0,0,1,70,42,0
"193946",0,0,0,0,0,40,0,0,0,0,0,1,0,0,0,1,0,7,10,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,1,9,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,8,0,0,0,0,0,0,0,5,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"189592",0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,2,0,5,0,0,0,5,0,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,11,19,0,0,0,0,0,9,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,2,3,2,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,3,0
"3211875",0,0,0,0,0,10,42,0,0,3,0,0,1,0,2,3,112,4,22,0,0,0,0,2,5,3,11,0,0,0,5,46,0,0,0,0,0,144,0,70,0,2,42,0,1,0,0,0,0,0,0,0,0,0,0,4,0,7,151,0,88,0,0,0,0,25,7,1,173,1,1,0,0,3,16,0,0,1,0,0,0,0,214,0,0,0,28,19,6,18,0,13,0,0,0,0,0,0,0,15,0,0,3,20,0,0,2,0,5,0,0,0,0,0,0,0,0,0,1,3,0,28,50,52,136,0,0,30,3,1,0,382,0,0,1,0,0,0,0,1,4,0,1,0,0,25,0,1,160,0
"175261",0,4,2,0,0,48,0,10,0,0,0,12,0,3,0,7,0,6,8,8,0,0,0,0,1,12,2,0,3,3,16,0,0,2,5,35,0,2,4,33,21,0,0,0,27,0,4,65,0,0,0,0,0,0,8,0,0,9,3,0,0,7,0,0,0,116,1,0,14,19,1,0,0,131,105,0,0,0,0,0,22,0,0,1,0,26,0,6,4,0,1,5,0,0,0,0,0,0,0,36,0,0,1,44,0,7,0,0,2,0,0,0,3,0,0,4,0,9,0,31,17,19,1,0,54,0,0,0,37,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,6,6,0,5,0
"197970",13,0,15,0,0,307,0,13,0,0,0,2,0,4,52,35,0,89,25,37,0,0,0,0,29,34,9,0,13,12,57,0,0,40,31,189,0,0,0,27,77,18,0,0,49,0,4,7,0,0,21,0,0,0,10,0,1,16,9,0,1,126,0,0,0,132,34,0,46,0,0,14,0,128,236,0,0,0,0,43,2,0,0,0,0,8,0,9,0,0,1,30,0,37,0,0,0,0,0,21,0,20,10,48,0,83,0,0,75,0,0,0,14,0,0,15,0,14,0,45,22,113,4,0,22,0,0,0,0,0,0,0,4,0,0,0,0,0,27,0,16,0,0,0,69,85,26,0,73,0
"4390365",538,22,997,850,100,11,1517,53,1596,375,0,807,0,44,2369,19,588,50,7,354,4366,3803,461,102,61,9,600,1667,29,57,45,694,0,124,10,469,4269,41,338,31,634,5134,1614,0,7,0,30,290,1,0,31,1,2582,0,12,272,10,43,21,1,368,347,676,606,0,44,200,1,33,95,2995,1,385,525,32,0,51,318,2,280,158,0,621,945,2874,1359,848,307,3227,0,2811,1,239,1087,197,0,0,0,2181,22,224,599,142,25,395,871,0,1,12365,0,11194,0,202,0,4,916,3925,84,747,1,42,11,3,0,140,85,481,24,147,25,759,79,1,759,0,913,116,7740,1108,90,663,3,421,1,2085,563,107,351,70,149
"186624",1,3,0,0,0,25,298,62,0,0,0,13,0,10,2,1,53,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,3,2,70,0,0,241,13,0,63,12,0,23,0,17,0,0,0,0,0,0,0,0,0,0,38,13,0,0,65,3,0,0,1,22,0,26,0,0,6,0,41,1,0,5,0,1,56,38,0,0,0,0,0,1,6,0,0,70,0,1,15,0,0,0,0,0,1,3,51,1,98,91,0,0,0,37,15,0,0,0,0,0,6,0,0,0,0,3,13,18,0,29,13,0,0,1,0,0,0,28,0,0,0,0,0,0,2,19,0,0,0,0,6,14,58,100,0
"4366867",1,0,4,3,0,25,0,9,0,0,0,0,0,0,43,1,11,4,2,6,5,0,0,0,1,3,12,0,1,0,2,5,0,2,2,64,0,0,0,0,5,59,0,0,4,0,0,2,0,0,0,0,54,0,1,0,3,3,4,0,0,25,0,0,0,12,4,0,0,10,3,0,0,8,56,0,0,0,0,6,0,0,0,0,4,1,0,37,4,0,0,2,0,31,0,0,0,0,9,6,0,2,18,9,1,3,0,0,155,0,0,0,1,0,0,6,3,10,0,3,12,3,0,0,0,0,0,0,41,0,0,0,0,1,0,0,0,25,0,0,3,0,0,0,23,16,0,0,0,0
"175612",0,0,0,0,0,9,1,0,0,0,0,7,0,3,0,1,0,0,2,0,0,0,0,0,1,0,1,3,3,0,0,0,0,1,611,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,5,0,0,0,1,0,0,12,0,0,0,1,2,0,0,0,0,0,0,15,3,0,0,0,0,0,2,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,21,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0
"175184",0,0,1,0,0,11,0,0,0,0,0,0,0,1,1,0,0,5,3,0,0,0,0,0,3,1,0,0,1,0,0,0,0,5,1,12,0,0,0,1,0,1,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,27,0,0,3,0,0,2,0,16,14,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2,9,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,5,1,1,0
"4454531",2,0,2,22,0,11,4,0,51,1,0,11,6,0,5,0,5,0,0,0,27,32,97,0,0,0,0,21,0,0,0,0,0,2,1,12,1,0,0,0,0,11,9,20,0,83,1,1,17,97,0,24,113,14,1,9,1,0,0,20,1,0,134,21,25,0,25,19,0,1,130,15,13,0,17,1,0,24,0,28,0,0,1,9,11,1,2,0,9,6,59,3,0,1,1,31,48,0,50,0,11,5,28,2,1,18,1,9,0,11,33,175,0,0,0,0,3,0,0,2,0,0,0,11,0,12,22,3,1,0,10,3,0,25,15,20,19,27,88,6,0,4,9,54,0,1,0,7,32,48
