"","G37044","G37029","G36982","G36984","G37030","G36906","G36944","G36902","G37025","G36935","G36905","G36921","G37034","G37039","G37052","G37045","G37049","G36988","G37037","G37005","G37011","G37047","G37032","G36932","G37054","G36948","G36911","G36987","G37042","G37040","G37027","G37024","G37023","G37036","G37026","G37050","G36904","G36993","G36910","G36927","G37048","G37022","G35534","G35381","G35416","G35477","G35514","G35395","G35480","G35409","G35437","G35511","G35448","G35510","G35470","G35403","G35424","G35398","G35442","G35515","G35351","G35532","G35417","G35465","G35350","G35531","G35349","G35523","G35521","G35348","G35423","G35486","G35524","G35394","G35447","G35458","G35397","G35392","G35453","G35352","G35512","G35407","G35455","G35481","G35469","G35513","G35441","G35414","G35533","G35406","G35467","G35522","G35404","G35445","G36173","G36145","G36196","G36219","G36273","G36201","G36165","G36202","G36272","G36285","G36241","G36215","G36195","G36205","G36148","G36213","G36214","G36161","G36212","G36210","G36193","G36270","G36233","G36287","G36200","G36185","G36204","G36194","G36244","G36197","G36317","G36234","G36206","G36257","G36208","G36146","G36192","G36142","G36138","G36203","G36290","G36274","G36147","G36235","G36143","G36207","G36286","G36141","G36187","G36288","G36289","G36186","G36140","G36211","G36144","G36242","G36139","G36199","G36191","G36280","G36243","G36279","G36236","G36198","G36189","G36190","G36275","G36188","G36271","G36430","G36510","G36437","G36421","G36513","G36502","G36472","G36494","G36432","G36493","G36515","G36484","G36485","G36475","G36460","G36456","G36435","G36497","G36521","G36451","G36540","G36433","G36528","G36491","G36429","G36471","G36537","G36542","G36529","G36408","G36523","G36509","G36495","G36506","G36467","G36452","G36420","G36449","G36487","G36536","G36499","G36511","G36527","G36453","G36534","G36462","G36516","G36501","G36505","G36464","G36507","G36476","G36474","G36434","G36535","G36431","G36470","G36436","G36439","G36450","G36473","G36459","G36438","G36522","G36465","G36519","G36461","G36514","G36518","G36496","G36498","G36538","G36457","G36520","G36508","G36490","G36463","G36530","G36488","G36492","G36466","G36525","G36500","G36454","G36486","G36417","G36455","G36517","G36524","G36503","G36423","G36526","G36440","G36541","G36458","G36489","G36512","G36468","G36796","G36824","G36834","G36856","G36797","G36816","G36756","G36799","G36820","G36829","G36766","G36765","G36769","G36764","G36839","G36835","G36762","G36753","G36763","G36854","G36773","G36759","G36819","G36847","G36761","G36760","G36855","G36772","G36771","G36757","G36752","G36837","G36838","G36811","G36823","G35906","G36002","G36029","G36034","G36000","G35996","G36026","G35878","G36020","G36003","G36021","G35892","G35902","G35869","G35876","G36025","G35881","G36037","G35924","G35894","G36001","G35997","G35908","G36028","G35915","G36035","G35874","G35867","G35938","G35923","G36030"
"4333897",12,0,0,0,0,1,1,0,0,43,1,2,0,0,0,5,8,7,7,4,19,0,7,6,0,4,0,11,17,0,1,0,8,4,5,17,0,10,0,0,0,8,34,3,13,1,0,3,18,0,4,1,3,0,1,9,21,8,4,0,2,64,17,1,38,2,10,26,11,0,42,3,9,4,0,0,0,1,1,9,0,0,0,11,0,0,9,27,14,0,0,6,1,7,0,3,7,80,4,0,8,0,0,0,0,62,0,1,0,17,6,2,12,6,3,0,0,0,0,0,0,1,0,2,12,0,0,1,0,17,5,12,2,5,0,3,0,0,1,23,0,2,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,79,22,29,2,3,0,7,9,0,0,82,0,0,8,10,1,0,1,0,23,0,0,9,0,0,30,0,9,2,6,3,8,0,0,0,29,0,43,0,1,5,19,28,33,0,1,3,10,0,12,0,0,0,0,0,0,8,2,0,8,0,46,1,0,15,10,2,0,0,0,9,0,8,11,0,2,0,0,0,0,7,6,0,3,0,0,1,9,0,0,0,0,2,0,4,0,0,0,1,42,0,0,20,0,59,8,90,0,1,1,23,16,4,74,51,0,2,4,20,40,0,23,1,0,2,0,2,46,26,3,1,0,5,17,15,18,24,15,46,0,25,203,213,1,8,85,6,0,0,0,2,0,35,12,31,57,162,8,18,51,1,0,54,15,0,1,53,58,10,32
"190162",0,4,15,20,3,48,1,14,3,7,13,3,25,1,4,3,7,0,3,0,0,2,18,0,41,6,5,0,0,6,0,1,4,0,0,0,7,0,1,11,36,1,18,23,0,51,15,35,4,100,11,1,1,0,12,15,0,21,1,0,66,24,0,41,0,1,0,0,0,0,18,6,0,6,0,7,3,2,18,6,23,21,26,0,45,2,4,0,3,39,20,0,0,0,0,1,15,0,15,1,48,0,5,10,6,1,0,23,11,0,0,0,0,0,5,12,13,1,13,0,1,5,0,1,3,6,15,3,4,5,2,11,13,20,0,4,0,11,18,31,6,4,0,20,7,0,2,26,0,14,1,4,5,36,11,7,68,1,0,0,7,1,5,0,1,8,0,0,42,7,2,0,4,18,0,0,2,12,12,0,3,10,0,0,0,22,0,2,0,6,10,4,0,0,0,0,13,8,1,0,0,0,52,47,1,7,2,15,35,6,19,8,3,0,3,43,0,8,0,7,5,0,0,11,0,13,0,0,4,9,0,53,2,38,0,18,13,0,0,5,6,0,2,15,2,39,0,0,4,8,0,81,7,0,3,8,1,65,7,0,5,0,0,59,61,59,55,59,10,3,21,1,5,130,96,49,26,163,0,34,4,39,56,3,28,0,1,11,10,54,32,0,40,3,19,8,173,1,3,0,17,12,13,0,0,1,0,2,0,0,24,0,2,10,0,11,2,6,46,0,0,0,0,18,5,18,11
"134726",0,0,0,0,0,1,0,0,26,0,4,2,32,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,0,0,0,347,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,573,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,89,3,0,0,16,8,0,0,0,0,0,15,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,41,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,26,150,2,0,0,0,0,0,0,18,0,0,0,20,0,0,0,0,0,0,0,20,0,0,4,0,2,0,0,0,0,0,23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,28,0,0,0,0,0,250,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,26,0,0,62,0,1,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0,0,1,16,0,0,0,0,20,0,0,0,21,0,0,70,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,1,0,87,0,0,0,3,0,0
"679245",0,0,0,9,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,108,0,0,0,0,1,7,0,0,7,0,0,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,24,0,141,12,14,12,0,0,0,0,0,0,0,0,0,7,2,0,13,0,10,25,3,0,0,0,0,43,0,0,4,5,0,3,0,0,0,7,0,0,0,0,0,4,202,13,0,0,0,0,287,0,0,128,0,0,15,0,0,0,2,0,0,0,0,6,148,154,1,2,0,0,0,0,1,0,0,0,0,4,0,0,0,0,2,0,0,10,0,0,0,0,0,0,0,1,102,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,26,1,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,1,0,0,0,0,0,57,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368,0,0,0,1,0
"289734",101,545,2786,3756,440,2954,1666,1033,633,2006,651,1200,3967,41,1567,1829,2374,0,1135,0,0,1262,2231,868,2335,1506,982,0,0,465,379,389,855,162,19,1,824,1,271,1473,4624,981,4890,4712,3,5387,1474,4179,204,11722,2263,1,1,1,1398,2430,1,2724,16,0,7865,3819,1,1806,8,335,0,0,0,2,2904,971,3,1398,0,434,645,890,2416,2240,2073,2124,2394,68,1856,472,1050,2,436,3509,469,1,1,1,4,516,2027,14,1908,144,5134,246,310,2170,1293,2,830,803,2031,0,56,0,1,0,1977,1249,1448,133,759,0,129,477,756,433,791,1535,555,1272,499,1875,745,4055,4998,770,1207,259,31,1315,3549,3323,1363,1165,3,2368,2181,0,797,2624,327,2497,199,393,778,1348,2092,240,5696,495,1,4,2368,288,251,2,1,3644,0,0,1345,2081,989,1,724,2240,1,3,1049,3695,1133,0,326,4376,1,7,1,9558,1,395,2,1721,2612,1204,506,3,1,4,2449,2219,1,1,0,1,14864,3035,1,939,1401,6845,2097,3126,2744,1939,1355,0,713,3214,0,6690,1,1973,2494,2,1,4322,52,2151,2,0,724,1514,0,20371,407,4088,55,3587,2484,1,2,2400,1214,0,465,3861,518,1702,57,1,521,4478,542,15962,3273,1,1803,1982,396,3304,1246,1,1381,37,2,8458,3044,5700,5143,8308,1051,521,1652,4,232,2619,8352,4981,2153,5884,21,3522,435,2598,3754,614,2717,9,10,950,968,2789,5268,6,3544,881,1875,1008,2481,253,12,0,3457,2166,1410,2,1,835,0,273,15,77,4538,1,802,2771,898,884,441,789,2896,1,10,5,50,4335,2902,797,2995
"302049",4,20,101,190,25,100,62,46,20,81,23,55,178,7,52,96,112,0,50,0,0,67,87,31,106,46,44,0,0,17,13,21,71,8,2,0,25,0,8,59,180,46,277,364,0,372,93,330,18,721,153,0,2,0,103,156,0,179,5,0,591,292,1,138,1,12,0,0,0,0,223,59,1,103,0,44,36,42,174,131,153,166,173,7,126,30,78,0,23,248,48,0,0,0,0,24,95,0,127,9,240,13,23,98,148,0,53,39,115,0,8,0,0,0,103,70,85,7,52,0,7,34,51,27,52,85,25,81,30,101,43,229,270,34,67,43,0,62,210,182,71,81,0,143,130,0,36,139,17,205,15,24,42,114,140,18,337,25,0,1,180,12,15,0,0,177,1,1,60,87,26,1,24,83,0,0,52,148,78,0,14,197,0,0,0,434,0,21,0,94,139,45,24,0,0,2,155,94,0,0,0,0,699,135,0,42,62,293,95,126,125,82,54,0,32,138,0,259,0,66,108,1,0,153,1,101,0,0,37,64,0,920,22,185,2,133,133,1,0,100,64,0,17,157,16,107,0,0,29,185,13,609,139,0,107,63,12,116,88,0,67,3,0,632,263,362,425,558,95,32,168,7,14,184,568,408,152,399,0,249,39,207,293,48,187,3,1,88,71,178,381,3,238,70,132,97,187,17,8,0,327,197,154,2,2,78,0,30,2,4,474,1,80,255,76,104,39,82,348,0,12,1,12,221,203,41,168
"3903651",6,242,1086,686,207,271,12,267,519,230,27,214,750,77,573,124,60,0,1031,0,1,746,998,325,652,78,87,0,0,314,0,208,1351,0,12,1,103,0,0,197,308,0,415,551,2,3453,21,258,0,499,551,327,1,1,443,10,658,184,1946,0,1434,480,0,450,976,46,399,0,232,0,567,419,191,265,0,99,88,1116,1588,802,200,2769,190,1,530,76,1,2,66,2313,37,121,0,1,0,518,497,2,203,117,838,159,667,850,494,1,1,22,0,0,468,1,133,192,760,229,58,124,1308,1,547,5,368,507,37,196,99,204,89,0,25,1233,75,604,492,13,2,357,1,1367,114,320,0,114,87,0,58,127,332,77,16,575,12,382,469,20,4,0,1,0,868,59,77,68,0,132,475,1,170,389,1886,0,54,97,2235,30,1279,381,119,0,401,129,391,84,0,2828,524,354,1,567,624,1446,2,1,1712,703,1398,120,912,0,1,0,2482,300,0,407,79,418,46,1036,71,115,377,109,559,123,0,318,47,589,110,0,0,367,0,54,228,0,5,131,1,11268,637,195,217,147,233,152,340,324,574,0,257,58,726,160,176,0,424,95,113,2926,26,0,585,353,5951,263,544,0,126,7,12,1754,307,807,226,1260,572,191,181,1066,865,226,366,498,660,194,1932,63,244,124,582,122,759,1790,884,206,4,40,1541,2073,143,0,1273,1373,105,50,6,2523,576,167,303,180,3,138,0,68,0,0,380,65,1066,1477,59,402,11,23,140,1,789,3,0,2129,64,1272,662
"184922",0,8,0,0,0,0,0,0,16,0,0,0,95,0,0,0,0,0,42,0,0,73,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,1,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,24,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,10,1,0,69,0,0,3,0,0,0,0,0,0,0,1,0,0,62,0,4,0,0,0,0,1,9,66,0,0,2,0,56,118,70,6,0,2,0,20,0,1,0,0,2,0,0,0,0,0,0,18,0,0,0,100,0,0,0,0,7,0,15,0,0,32,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,0,9,29,1,0,0,0,0,0,0,0,27,0,0,0,0,30,0,0,0,53,0,13,0,18,0,0,0,0,0,1,0,0,0,18,12,9,0,0,0,114,2,225,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,20,0,0,0,1,0,0,1,90,1,0,0,0,0,0,1,0,1,0,249,2,0,0,0,24,0,0,0,0,0,0,1,0,0,0,2,0,3,0,3,0,0,0,0,0,0
"193946",0,0,0,0,5,0,0,3,4,9,0,4,2,8,12,0,0,0,0,0,0,0,0,6,2,4,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,21,0,0,3,0,0,0,3,0,5,0,0,0,0,0,12,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,2,0,0,0,0,6,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,6,0,0,3,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,8,6,0,0,8,0,1,0,3,5,0,0,0,0,10,0,40,0,0,0,0,0,0,14,0,0,0,19,15,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"189592",0,0,1,0,0,2,0,0,0,5,0,0,1,2,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,6,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,11,0,0,0,0,1,1,0,0,0,0,0,5,0,1,0,6,0,2,0,0,0,1,9,0,0,0,0,0,0,0,5,3,1,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,12,0,0,0,3,0,5,1,0,0,0,0,0,0,1,0,5,0,2,0,8,7,0,13,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,13,2,2,1,5,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,5,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19,0,0,6,0,2,0,1,9,0,0,0,0,0,0,4,0,0,0,0,0,0,33,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
