"","hpf","ERCC"
"Sample_00",0,77564.805061
"Sample_01",0.5,82697.5933113
"Sample_02",1,71609.6404468
"Sample_03",1.5,69384.9304699999
"Sample_04",2,71681.4640474
"Sample_05",2.5,59604.4543771
"Sample_06",3,54313.6112153
"Sample_07",3.5,46153.4161136
"Sample_08",4,39852.570568
"Sample_09",4.5,40855.7459942
"Sample_10",5,42113.4625855
"Sample_11",5.5,40735.2637769
"Sample_12",6,45178.8869767
"Sample_13",6.5,45772.336744
"Sample_14",7,48096.2853195
"Sample_15",7.5,48785.7179786
"Sample_16",8,48934.2189178
"Sample_17",8.5,52609.928591
"Sample_18",9,49988.0923308
"Sample_19",9.5,50109.343258
"Sample_20",10,53007.9336726
"Sample_21",10.5,47300.7328544
"Sample_22",11,42094.2016049
"Sample_23",11.5,45913.1876835
"Sample_24",12,39708.675848
"Sample_25",12.5,47979.3687776
"Sample_26",13,37713.096759
"Sample_27",13.5,40340.9304761
"Sample_28",14,37214.498457
"Sample_29",14.5,37821.1156305
"Sample_30",15,35520.449815
"Sample_31",15.5,32174.768773
"Sample_32",16,38357.339123
"Sample_33",16.5,34717.5992573
"Sample_34",17,30552.8308357
"Sample_35",17.5,32055.4773959
"Sample_36",18,32455.0006661
"Sample_37",18.5,31979.4066778
"Sample_38",19,32846.19365
"Sample_39",19.5,27903.8885743
"Sample_40",20,25437.9144569
"Sample_41",20.5,25812.8803512
"Sample_42",21,26563.658091
"Sample_43",21.5,31542.7929918
"Sample_44",22,24363.2741051
"Sample_45",22.5,23344.6712322
"Sample_46",23,22428.8494061
"Sample_47",23.5,25990.7843762
"Sample_48",24,21574.1801809
"Sample_49",25,26697.2517808
"Sample_50",26,24130.6219562
"Sample_51",27,24378.1660529
"Sample_52",28,24294.9799199
"Sample_53",29,24517.4481472
"Sample_54",30,23037.3467531
"Sample_55",31,21404.7177424
"Sample_56",32,20678.9199619
"Sample_57",33,26620.1182893
"Sample_58",34,18537.7589439
"Sample_59",35,16580.462098
"Sample_60",36,16739.4073429
"Sample_61",37,15030.0577854
"Sample_62",38,17178.764889
"Sample_63",39,16125.8091502
"Sample_64",40,14108.0159405
"Sample_65",41,13244.6099024
"Sample_66",42,15874.1063657
"Sample_68",44,12370.7855981
"Sample_69",45,13706.9059812
"Sample_70",46,12912.7906984
"Sample_71",47,13194.1813169
"Sample_72",48,12860.2632439
"Sample_73",49,15960.8740252
"Sample_75-1",50,17132.8324927
"Sample_75-2",51,15080.2600358
"Sample_76",52,19839.7285549
"Sample_77",53,12432.408529
"Sample_78",54,13054.4841629
"Sample_79",55,12346.837907
"Sample_80",56,14402.9102484
"Sample_81",57,17158.5686502
"Sample_82",58,19238.4038187
"Sample_83",59,12804.8733012
"Sample_84",60,12281.7865485
"Sample_85",61,10505.1694861
"Sample_86",62,12510.7004993
"Sample_87",63,10135.5678559
"Sample_88",64,14090.7130289
"Sample_89",65,11832.2241812
"Sample_90",66,12495.823125
