"","hpf","ERCC"
"Sample_00",0,77564.805061
"Sample_01",0.5,82697.5933113
"Sample_02",1,71609.6404468
"Sample_03",1.5,69384.9304699999
"Sample_04",2,71681.4640474
"Sample_05",2.5,59604.4543771
"Sample_06",3,54313.6112153
"Sample_07",3.5,46153.4161136
"Sample_08",4,39852.570568
"Sample_09",4.5,40855.7459942
"Sample_10",5,42113.4625855
"Sample_11",5.5,40735.2637769
"Sample_12",6,45178.8869767
"Sample_13",6.5,45772.336744
"Sample_14",7,48096.2853195
"Sample_15",7.5,48785.7179786
"Sample_16",8,48934.2189178
"Sample_17",8.5,52609.928591
"Sample_18",9,49988.0923308
"Sample_19",9.5,50109.343258
"Sample_65",41,13244.6099024
"Sample_66",42,15874.1063657
"Sample_68",44,12370.7855981
"Sample_69",45,13706.9059812
"Sample_70",46,12912.7906984
"Sample_71",47,13194.1813169
"Sample_72",48,12860.2632439
"Sample_73",49,15960.8740252
"Sample_75-1",50,17132.8324927
"Sample_75-2",51,15080.2600358
"Sample_76",52,19839.7285549
"Sample_77",53,12432.408529
"Sample_78",54,13054.4841629
"Sample_79",55,12346.837907
"Sample_80",56,14402.9102484
"Sample_81",57,17158.5686502
"Sample_82",58,19238.4038187
"Sample_83",59,12804.8733012
"Sample_84",60,12281.7865485
"Sample_85",61,10505.1694861
"Sample_86",62,12510.7004993
"Sample_87",63,10135.5678559
"Sample_88",64,14090.7130289
"Sample_89",65,11832.2241812
"Sample_90",66,12495.823125
"Sample_21",10.5,47300.7328544
"Sample_47",23.5,25990.7843762
"Sample_39",19.5,27903.8885743
"Sample_53",29,24517.4481472
"Sample_49",25,26697.2517808
"Sample_20",10,53007.9336726
"Sample_64",40,14108.0159405
"Sample_33",16.5,34717.5992573
"Sample_61",37,15030.0577854
"Sample_23",11.5,45913.1876835
"Sample_48",24,21574.1801809
"Sample_36",18,32455.0006661
